feature	importance
AMT_INCOME_TOTAL	28
AMT_CREDIT	16
DAYS_ID_PUBLISH	22
EXT_SOURCE_2	56
EXT_SOURCE_3	51
YEARS_BUILD_AVG	61
NONLIVINGAPARTMENTS_AVG	17
NONLIVINGAREA_AVG	18
YEARS_BUILD_MODE	76
NONLIVINGAPARTMENTS_MODE	23
NONLIVINGAREA_MODE	40
APARTMENTS_MEDI	19
YEARS_BEGINEXPLUATATION_MEDI	16
YEARS_BUILD_MEDI	30
NONLIVINGAREA_MEDI	32
DAYS_EMPLOYED_PERC	21
PAYMENT_RATE	19
BURO_DAYS_CREDIT_ENDDATE_MAX	19
BURO_DAYS_CREDIT_ENDDATE_MEAN	15
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN	17
BURO_STATUS_0_MEAN_MEAN	17
BURO_STATUS_4_MEAN_MEAN	17
BURO_STATUS_C_MEAN_MEAN	24
ACTIVE_DAYS_CREDIT_MAX	20
ACTIVE_MONTHS_BALANCE_SIZE_MEAN	15
CLOSED_DAYS_CREDIT_MAX	15
CLOSED_DAYS_CREDIT_VAR	19
CLOSED_DAYS_CREDIT_ENDDATE_MAX	26
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN	15
CLOSED_AMT_ANNUITY_MEAN	19
CLOSED_MONTHS_BALANCE_MAX_MAX	17
PREV_RATE_DOWN_PAYMENT_MIN	24
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN	16
REFUSED_APP_CREDIT_PERC_MEAN	16
REFUSED_AMT_GOODS_PRICE_MIN	16
INSTAL_DBD_MAX	21
INSTAL_PAYMENT_DIFF_SUM	23
INSTAL_AMT_PAYMENT_MIN	16
CC_CNT_DRAWINGS_ATM_CURRENT_SUM	16
CC_CNT_DRAWINGS_ATM_CURRENT_VAR	18
